"DataRef";"Vencimento";"DU";"Taxa"
"2021-10-22";2021-10-25;1;6,15
"2021-10-22";2021-11-01;6;6,61
"2021-10-22";2021-12-01;26;7,404
"2021-10-22";2022-01-03;49;8,148
"2021-10-22";2022-02-01;70;8,476
"2021-10-22";2022-03-02;89;8,92
"2021-10-22";2022-04-01;111;9,29
"2021-10-22";2022-05-02;130;9,592
"2021-10-22";2022-06-01;152;9,869
"2021-10-22";2022-07-01;173;10,1
"2021-10-22";2022-08-01;194;10,21
"2021-10-22";2022-09-01;217;10,405
"2021-10-22";2022-10-03;238;10,575
"2021-10-22";2022-11-01;258;10,674
"2021-10-22";2022-12-01;278;10,763
"2021-10-22";2023-01-02;300;10,85
"2021-10-22";2023-04-03;363;11,03
"2021-10-22";2023-07-03;424;11,2
"2021-10-22";2023-10-02;488;11,328
"2021-10-22";2024-01-02;549;11,315
"2021-10-22";2024-04-01;610;11,384
"2021-10-22";2024-07-01;673;11,445
"2021-10-22";2024-10-01;739;11,483
"2021-10-22";2025-01-02;803;11,5
"2021-10-22";2025-04-01;864;11,519
"2021-10-22";2025-07-01;925;11,53
"2021-10-22";2025-10-01;991;11,603
"2021-10-22";2026-01-02;1056;11,64
"2021-10-22";2026-04-01;1117;11,706
"2021-10-22";2026-07-01;1178;11,735
"2021-10-22";2026-10-01;1243;11,768
"2021-10-22";2027-01-04;1306;11,81
"2021-10-22";2028-01-03;1557;12
"2021-10-22";2029-01-02;1806;11,99
"2021-10-22";2030-01-02;2056;12,08
"2021-10-22";2031-01-02;2309;12,05
"2021-10-22";2033-01-03;2814;12,066
"2021-10-22";2035-01-02;3314;12,172
"2021-10-22";2036-01-02;3564;12,26
