"DataRef";"Vencimento";"DU";"Taxa"
"2021-10-21";2021-10-22;1;6,15
"2021-10-21";2021-11-01;7;6,578
"2021-10-21";2021-12-01;27;7,262
"2021-10-21";2022-01-03;50;7,886
"2021-10-21";2022-02-01;71;8,195
"2021-10-21";2022-03-02;90;8,62
"2021-10-21";2022-04-01;112;8,97
"2021-10-21";2022-05-02;131;9,262
"2021-10-21";2022-06-01;153;9,529
"2021-10-21";2022-07-01;174;9,75
"2021-10-21";2022-08-01;195;9,85
"2021-10-21";2022-09-01;218;10,035
"2021-10-21";2022-10-03;239;10,195
"2021-10-21";2022-11-01;259;10,297
"2021-10-21";2022-12-01;279;10,389
"2021-10-21";2023-01-02;301;10,48
"2021-10-21";2023-04-03;364;10,69
"2021-10-21";2023-07-03;425;10,92
"2021-10-21";2023-10-02;489;11,093
"2021-10-21";2024-01-02;550;11,125
"2021-10-21";2024-04-01;611;11,224
"2021-10-21";2024-07-01;674;11,315
"2021-10-21";2024-10-01;740;11,413
"2021-10-21";2025-01-02;804;11,49
"2021-10-21";2025-04-01;865;11,516
"2021-10-21";2025-07-01;926;11,535
"2021-10-21";2025-10-01;992;11,615
"2021-10-21";2026-01-02;1057;11,66
"2021-10-21";2026-04-01;1118;11,719
"2021-10-21";2026-07-01;1179;11,74
"2021-10-21";2026-10-01;1244;11,766
"2021-10-21";2027-01-04;1307;11,8
"2021-10-21";2028-01-03;1558;11,91
"2021-10-21";2029-01-02;1807;12
"2021-10-21";2030-01-02;2057;12,1
"2021-10-21";2031-01-02;2310;12,14
"2021-10-21";2033-01-03;2815;12,156
"2021-10-21";2035-01-02;3315;12,262
"2021-10-21";2036-01-02;3565;12,35
