"DataRef";"Vencimento";"DU";"Taxa"
"2021-10-15";2021-10-18;1;6,15
"2021-10-15";2021-11-01;11;6,348
"2021-10-15";2021-12-01;31;6,893
"2021-10-15";2022-01-03;54;7,348
"2021-10-15";2022-02-01;75;7,625
"2021-10-15";2022-03-02;94;7,91
"2021-10-15";2022-04-01;116;8,145
"2021-10-15";2022-05-02;135;8,35
"2021-10-15";2022-06-01;157;8,564
"2021-10-15";2022-07-01;178;8,725
"2021-10-15";2022-08-01;199;8,859
"2021-10-15";2022-09-01;222;8,978
"2021-10-15";2022-10-03;243;9,07
"2021-10-15";2022-11-01;263;9,148
"2021-10-15";2022-12-01;283;9,215
"2021-10-15";2023-01-02;305;9,28
"2021-10-15";2023-04-03;368;9,47
"2021-10-15";2023-07-03;429;9,655
"2021-10-15";2023-10-02;493;9,79
"2021-10-15";2024-01-02;554;9,9
"2021-10-15";2024-04-01;615;9,994
"2021-10-15";2024-07-01;678;10,08
"2021-10-15";2024-10-01;744;10,15
"2021-10-15";2025-01-02;808;10,2
"2021-10-15";2025-04-01;869;10,236
"2021-10-15";2025-07-01;930;10,266
"2021-10-15";2025-10-01;996;10,356
"2021-10-15";2026-01-02;1061;10,39
"2021-10-15";2026-04-01;1122;10,461
"2021-10-15";2026-07-01;1183;10,495
"2021-10-15";2026-10-01;1248;10,533
"2021-10-15";2027-01-04;1311;10,58
"2021-10-15";2028-01-03;1562;10,72
"2021-10-15";2029-01-02;1811;10,84
"2021-10-15";2030-01-02;2061;10,945
"2021-10-15";2031-01-02;2314;10,99
"2021-10-15";2033-01-03;2819;11,05
"2021-10-15";2035-01-02;3319;11,2
"2021-10-15";2036-01-02;3569;11,31
